id,time,pee,poop,empty
mmgejh21ubciajyz95,2026-03-07T14:05:34.557Z,TRUE,FALSE,FALSE
mmgejjjdnoxn8catsyq,2026-03-07T14:06:43.516Z,TRUE,FALSE,FALSE
mmgmrsu5l3e1jai9bk,2026-03-07T18:02:05.374Z,TRUE,FALSE,FALSE
mmgmryaxum2918iljhk,2026-03-07T18:02:08.962Z,FALSE,TRUE,FALSE
mmguysgwptq88e2xe1b,2026-03-07T21:51:26.063Z,TRUE,FALSE,FALSE
mmguywj2irgp5w5ct7,2026-03-07T21:50:32.002Z,TRUE,FALSE,FALSE
mmh5u1rbmmdgzyy6sa9,2026-03-08T02:55:15.876Z,TRUE,FALSE,FALSE
mmhfgj0abhofsqvf7gk,2026-03-08T06:30:00.000Z,TRUE,FALSE,FALSE
mmhnp3hvlsmx7crgdz,2026-03-08T11:15:44.039Z,TRUE,FALSE,FALSE
mmhp17ad9x8n6fysozb,2026-03-08T09:00:00.000Z,TRUE,FALSE,FALSE
mmhq05m287m5lh4oltm,2026-03-08T11:00:00.000Z,TRUE,FALSE,FALSE
mmhuugtmdp3eb7f41s4,2026-03-08T14:35:52.523Z,TRUE,FALSE,FALSE
mmi0ewpp2zol6fv8rvr,2026-03-08T17:11:43.302Z,TRUE,FALSE,FALSE
mmi6tw8t17t5fxnv104,2026-03-08T20:10:20.037Z,TRUE,FALSE,FALSE
mmi6u1yuef1p3wqoum8,2026-03-08T20:11:29.570Z,TRUE,FALSE,FALSE
mmigtzbglkdv8otwy6,2026-03-09T00:51:20.544Z,TRUE,FALSE,FALSE
mmip2habrn43sbz2q8,2026-03-09T04:36:53.764Z,TRUE,FALSE,FALSE
mmip2t91h1tkebh1vw,2026-03-09T04:41:05.994Z,TRUE,FALSE,FALSE
mmivkyoffqe9yu4ixxl,2026-03-09T07:44:13.504Z,TRUE,FALSE,FALSE
